[INFO] [2025-11-22 11:59:14] [system.py:53] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-22 19:08:34] [system.py:62] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-22 19:08:34] [system.py:63] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-22 19:08:34] [system.py:67] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-22 19:08:34] [system.py:77] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-22 19:08:34] [system.py:82] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-22 19:09:04] [system.py:62] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-22 19:09:04] [system.py:63] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-22 19:09:04] [system.py:67] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-22 19:09:04] [system.py:77] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-22 19:09:04] [system.py:82] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-24 14:19:07] [system.py:103] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-24 14:19:07] [system.py:104] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-24 14:19:07] [system.py:105] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-24 14:19:07] [system.py:106] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-24 14:19:07] [system.py:116] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-24 14:19:07] [system.py:122] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-24 14:19:07] [system.py:127] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-24 14:19:12] [system.py:103] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-24 14:19:12] [system.py:104] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-24 14:19:12] [system.py:105] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-24 14:19:12] [system.py:106] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-24 14:19:12] [system.py:116] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-24 14:19:12] [system.py:122] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-24 14:19:12] [system.py:127] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-24 16:31:45] [system.py:103] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-24 16:31:45] [system.py:104] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-24 16:31:45] [system.py:105] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-24 16:31:45] [system.py:106] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-24 16:31:45] [system.py:116] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-24 16:31:45] [system.py:122] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-24 16:31:45] [system.py:127] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-24 16:37:32] [system.py:103] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-24 16:37:32] [system.py:104] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-24 16:37:32] [system.py:105] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-24 16:37:32] [system.py:106] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-24 16:37:32] [system.py:116] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-24 16:37:32] [system.py:122] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-24 16:37:32] [system.py:127] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-24 17:21:36] [system.py:103] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-24 17:21:36] [system.py:104] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-24 17:21:36] [system.py:105] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-24 17:21:36] [system.py:106] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-24 17:21:36] [system.py:116] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-24 17:21:36] [system.py:122] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-24 17:21:36] [system.py:127] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 09:45:36] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 09:45:36] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 09:45:36] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 09:45:36] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 09:45:36] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 09:45:36] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 09:45:36] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 09:45:36] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 09:51:26] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 09:51:26] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 09:51:26] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 09:51:26] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 09:51:26] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 09:51:26] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 09:51:26] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 09:51:26] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 09:54:09] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 09:54:09] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 09:54:09] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 09:54:09] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 09:54:09] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 09:54:09] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 09:54:09] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 09:54:09] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 09:55:09] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 09:55:09] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 09:55:09] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 09:55:09] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 09:55:09] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 09:55:09] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 09:55:09] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 09:55:09] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 09:56:20] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 09:56:20] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 09:56:20] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 09:56:20] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 09:56:20] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 09:56:20] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 09:56:20] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 09:56:20] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 09:59:25] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 09:59:25] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 09:59:25] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 09:59:25] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 09:59:25] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 09:59:25] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 09:59:25] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 09:59:26] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:00:06] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:00:06] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:00:06] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:00:06] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:00:06] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:00:06] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:00:06] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:00:06] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:05:42] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:05:42] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:05:42] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:05:42] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:05:42] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:05:42] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:05:42] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:05:42] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:07:00] [system.py:106] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:07:00] [system.py:107] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:07:00] [system.py:108] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:07:00] [system.py:109] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:07:00] [system.py:119] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:07:00] [system.py:125] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:07:00] [system.py:130] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:07:00] [system.py:137] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:15:44] [system.py:138] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:15:44] [system.py:139] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:15:44] [system.py:140] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:15:44] [system.py:141] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:15:44] [system.py:151] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:15:44] [system.py:157] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:15:44] [system.py:162] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:15:44] [system.py:169] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:18:09] [system.py:139] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:18:09] [system.py:140] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:18:09] [system.py:141] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:18:09] [system.py:142] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:18:09] [system.py:152] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:18:09] [system.py:158] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:18:09] [system.py:163] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:18:09] [system.py:170] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:18:37] [system.py:139] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:18:37] [system.py:140] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:18:37] [system.py:141] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:18:37] [system.py:142] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:18:37] [system.py:152] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:18:37] [system.py:158] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:18:37] [system.py:163] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:18:37] [system.py:170] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:21:17] [system.py:137] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:21:17] [system.py:138] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:21:17] [system.py:139] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:21:17] [system.py:140] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:21:17] [system.py:150] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:21:17] [system.py:156] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:21:17] [system.py:161] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:21:17] [system.py:168] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:21:58] [system.py:137] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:21:58] [system.py:138] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:21:58] [system.py:139] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:21:58] [system.py:140] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:21:58] [system.py:150] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:21:58] [system.py:156] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:21:58] [system.py:161] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:21:58] [system.py:168] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:23:29] [system.py:137] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:23:29] [system.py:138] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:23:29] [system.py:139] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:23:29] [system.py:140] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:23:29] [system.py:150] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:23:29] [system.py:156] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:23:29] [system.py:161] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:23:29] [system.py:168] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:26:55] [system.py:131] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:26:55] [system.py:132] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:26:55] [system.py:133] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:26:55] [system.py:134] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:26:55] [system.py:144] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:26:55] [system.py:150] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:26:55] [system.py:155] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:26:55] [system.py:162] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:27:15] [system.py:131] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:27:15] [system.py:132] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:27:15] [system.py:133] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:27:16] [system.py:134] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:27:16] [system.py:144] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:27:16] [system.py:150] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:27:16] [system.py:155] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:27:16] [system.py:162] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:27:33] [system.py:131] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:27:33] [system.py:132] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:27:33] [system.py:133] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:27:33] [system.py:134] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:27:33] [system.py:144] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:27:33] [system.py:150] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:27:33] [system.py:155] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:27:33] [system.py:162] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 10:30:26] [system.py:133] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 10:30:26] [system.py:134] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 10:30:26] [system.py:135] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 10:30:26] [system.py:136] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 10:30:26] [system.py:146] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 10:30:26] [system.py:152] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 10:30:26] [system.py:157] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 10:30:26] [system.py:164] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 19:23:58] [system.py:132] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 19:23:58] [system.py:133] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 19:23:58] [system.py:134] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 19:23:58] [system.py:135] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 19:23:58] [system.py:145] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 19:23:58] [system.py:151] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 19:23:58] [system.py:156] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 19:23:58] [system.py:163] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 19:24:33] [system.py:132] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 19:24:33] [system.py:133] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 19:24:33] [system.py:134] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 19:24:33] [system.py:135] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 19:24:33] [system.py:145] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 19:24:33] [system.py:151] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 19:24:33] [system.py:156] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 19:24:33] [system.py:163] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 19:26:00] [system.py:132] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 19:26:00] [system.py:133] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 19:26:00] [system.py:134] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 19:26:00] [system.py:135] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 19:26:00] [system.py:145] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 19:26:00] [system.py:151] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 19:26:00] [system.py:156] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 19:26:00] [system.py:163] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-25 19:26:25] [system.py:132] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-25 19:26:25] [system.py:133] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-25 19:26:25] [system.py:134] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-25 19:26:25] [system.py:135] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-25 19:26:25] [system.py:145] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-25 19:26:25] [system.py:151] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-25 19:26:26] [system.py:156] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-25 19:26:26] [system.py:163] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-26 14:49:51] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-26 14:49:51] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-26 14:49:51] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-26 14:49:51] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-26 14:49:51] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-26 14:49:51] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-26 14:49:51] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-26 14:49:51] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-26 14:49:51] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-26 14:50:51] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-26 14:50:51] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-26 14:50:51] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-26 14:50:51] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-26 14:50:51] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-26 14:50:51] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-26 14:50:51] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-26 14:50:51] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-26 14:50:51] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-26 15:08:17] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-26 15:08:17] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-26 15:08:17] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-26 15:08:17] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-26 15:08:17] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-26 15:08:17] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-26 15:08:17] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
